Disease,Fever,Cough,Headache,Tiredness,Nausea,Vomiting,Sore Throat,Difficulty Breathing
Flu,1,1,1,1,0,0,1,0
Flu,1,1,1,1,0,0,0,0
Flu,1,1,0,1,0,0,1,0
Flu,1,0,1,1,0,0,1,0
Flu,1,1,1,0,0,0,1,0
Common Cold,0,1,1,1,0,0,1,0
Common Cold,0,1,0,1,0,0,1,0
Common Cold,0,1,1,0,0,0,1,0
Common Cold,0,1,0,0,0,0,1,0
Common Cold,0,0,1,1,0,0,1,0
Migraine,0,0,1,1,1,0,0,0
Migraine,0,0,1,0,1,0,0,0
Migraine,0,0,1,1,0,0,0,0
Migraine,0,0,1,0,1,1,0,0
Migraine,0,0,1,1,1,1,0,0
Gastritis,0,0,0,1,1,1,0,0
Gastritis,0,0,0,1,1,0,0,0
Gastritis,0,0,0,0,1,1,0,0
Gastritis,0,0,1,1,1,1,0,0
Gastritis,0,0,0,1,0,1,0,0
Bronchitis,1,1,0,1,0,0,1,1
Bronchitis,1,1,0,1,0,0,1,0
Bronchitis,0,1,0,1,0,0,1,1
Bronchitis,1,1,1,1,0,0,1,1
Bronchitis,0,1,0,0,0,0,1,1
Pneumonia,1,1,0,1,0,0,0,1
Pneumonia,1,1,0,1,0,0,1,1
Pneumonia,1,1,1,1,0,0,0,1
Pneumonia,1,0,0,1,0,0,0,1
Pneumonia,1,1,0,0,0,0,0,1
Allergy,0,1,0,0,0,0,1,0
Allergy,0,1,1,0,0,0,1,0
Allergy,0,0,0,1,0,0,1,0
Allergy,0,1,0,1,0,0,1,0
Allergy,0,0,1,0,0,0,1,0
Sinusitis,0,1,1,1,0,0,1,0
Sinusitis,0,1,1,0,0,0,1,0
Sinusitis,1,1,1,1,0,0,1,0
Sinusitis,0,1,1,1,0,0,0,0
Sinusitis,1,1,1,0,0,0,1,0
Food Poisoning,0,0,0,1,1,1,0,0
Food Poisoning,1,0,0,1,1,1,0,0
Food Poisoning,0,0,0,0,1,1,0,0
Food Poisoning,1,0,1,1,1,1,0,0
Food Poisoning,0,0,1,1,1,1,0,0
Viral Fever,1,0,1,1,0,0,0,0
Viral Fever,1,0,0,1,0,0,0,0
Viral Fever,1,0,1,1,1,0,0,0
Viral Fever,1,1,1,1,0,0,0,0
Viral Fever,1,0,0,1,1,0,0,0
Tonsillitis,1,1,0,1,0,0,1,0
Tonsillitis,1,1,1,1,0,0,1,0
Tonsillitis,0,1,0,1,0,0,1,0
Tonsillitis,1,0,0,1,0,0,
